notation,count
"61BB2(BECKMANN-TUBE, Minna)1",8
"83(GUTHMANN, Eurydikes Wiederkehr, Drei Gesänge)",8
41D221(HOOD),8
33A2,8
31AA(+56),8
25H1321,8
24A1,8
45C16(CANNON),8
33C52,8
45C211,8
41A3361,8
25F24(BOAR),8
31D14(+73),8
31AA235(+1),8
31A235(+3),8
49G2,8
22C3114,8
41C7111,8
"83(BRENTANO, Fanferlieschen Schönefüßchen)",8
43B31(+11),8
31A2543,8
31A2211(+1),8
61BB1,8
31D13(+56),8
31E1,8
31AA221(+1),8
73B23,8
25F716(CRAB),8
44B1211,8
25G21(ORANGE),8
47I85,8
61D(CAMPAGNA DI ROMA),8
25G41(IRIS),8
42E312,8
11Q714,8
46A1251,8
41D223(DOUBLET),8
25G41(LILY)(+1),8
25F34,8
46A15,8
41C711,8
96A23,8
92C27,8
92L1791,8
33A53,8
11H(STEPHEN),8
11H(AMBROSE),8
73D82(CROWN OF THORNS),8
73D314,8
11F4221,8
82A(HAGEN),8
49N21,8
73E79,8
71E1263,8
12A43,8
11H(JEROME)36,8
61B111(+512),8
48C7522,8
92L191,8
96A5(FAMA),8
41A777,8
45B(+21),8
44G3129,8
61E(FRASCATI),8
31D12(+1),8
46C13,8
11H(+31),8
41D2121(FROCK COAT),8
31D17(+31),8
31A221(+32),8
31B181,8
45D322,8
25H223,8
48CC7354,8
61E(SANKT GOAR),8
48CC511,8
31D112(+1),8
45H3(+1),8
11I16,8
82AA(JULIET),8
11Q7131(AISLE),8
25I7(+1),8
61F(SANTI QUATTRO CORONATI),8
41B32,8
48C7323(+1),8
46B25,8
11Q7121(STEEPLE),8
31AA2531,8
31AA2422,8
31AA45231,8
"83(SHAKESPEARE, Midsummernight's Dream)",8
47D8(AXE),8
61B2(+511),8
31A14(+4),8
31A231(+32),8
31B6211(+4),8
25I2451,8
61F(PETERSKIRCHHOF),8
31D120(+4),8
61E(NIEDERHEIMBACH),8
61D(NAHE),8
47I87,8
61E(LICHTENBERG),8
41A5,8
61E(ZWINGENBERG (Landkreis Bergstraße)),8
61F(SCHLOSS HEIDELBERG (Heidelberg)),8
61E(SEEHEIM (Seeheim-Jugenheim)),8
61D(RHEINTAL),8
25I155,8
92H1,8
45B(+2),8
25I13(+1),8
31D11222(+55),8
5(+112),8
61B1(+512),8
61E(OFFENBACH (Main)),8
31AA2352(+1),8
61E(MILTENBERG),8
61E(BALDUINSTEIN),8
73D712,8
48A982,8
48A9845,8
48A98341,8
61E(SION),8
43C11621,8
61F(ZILLESKAPELLE),8
61E(FILSEN),8
61E(COND (Cochem)),8
61E(HOHENSOLMS),8
61E(RHENS),8
61E(MARTINSTEIN),8
61E(SCHLITZ),8
61F(KETTENHOF),8
61D(UMBRIA),8
43C512,7
